number,available_bikes,available_bike_stands,last_update
5,17,23,"2025-02-22 16:23:03"
5,18,22,"2025-02-22 16:41:40"
5,18,22,"2025-02-22 16:57:47"
5,13,27,"2025-02-22 17:06:25"
5,11,29,"2025-02-22 17:18:43"
5,14,26,"2025-02-22 17:51:08"
5,14,26,"2025-02-22 18:00:32"
5,18,22,"2025-02-22 18:13:44"
5,18,22,"2025-02-22 18:17:03"
5,18,22,"2025-02-22 18:27:06"
5,19,21,"2025-02-22 18:37:44"
5,21,19,"2025-02-22 18:52:44"
5,23,17,"2025-02-22 19:07:26"
5,25,15,"2025-02-22 19:31:20"
5,26,14,"2025-02-22 19:43:57"
5,25,15,"2025-02-22 19:57:48"
6,0,20,"2025-02-18 10:33:05"
6,0,20,"2025-02-18 10:53:16"
6,0,20,"2025-02-18 11:13:26"
6,0,20,"2025-02-18 12:24:06"
6,1,19,"2025-02-18 13:02:57"
6,0,20,"2025-02-18 13:16:03"
6,0,20,"2025-02-18 13:24:40"
6,9,11,"2025-02-18 19:30:26"
6,10,10,"2025-02-18 19:48:23"
6,14,6,"2025-02-22 07:58:34"
6,14,6,"2025-02-22 08:08:40"
6,14,6,"2025-02-22 08:18:46"
6,15,5,"2025-02-22 08:59:08"
6,15,5,"2025-02-22 09:19:19"
6,14,6,"2025-02-22 09:29:26"
6,13,7,"2025-02-22 09:39:33"
6,13,7,"2025-02-22 09:59:43"
6,15,5,"2025-02-22 10:20:58"
6,16,4,"2025-02-22 10:40:06"
6,15,5,"2025-02-22 10:51:08"
6,14,6,"2025-02-22 11:10:26"
6,14,6,"2025-02-22 11:30:37"
6,13,7,"2025-02-22 11:40:44"
6,14,6,"2025-02-22 12:00:55"
6,14,6,"2025-02-22 12:11:00"
6,14,6,"2025-02-22 12:21:06"
6,14,6,"2025-02-22 12:31:11"
6,14,6,"2025-02-22 12:41:17"
6,14,6,"2025-02-22 12:51:22"
6,13,7,"2025-02-22 13:11:33"
6,13,7,"2025-02-22 13:21:39"
6,14,6,"2025-02-22 13:42:32"
6,12,8,"2025-02-22 13:52:03"
6,11,9,"2025-02-22 14:02:10"
6,10,10,"2025-02-22 14:22:22"
6,10,10,"2025-02-22 14:32:27"
6,10,10,"2025-02-22 14:42:33"
6,11,9,"2025-02-22 14:55:04"
6,10,10,"2025-02-22 15:02:46"
6,8,12,"2025-02-22 15:12:54"
6,13,7,"2025-02-22 15:29:36"
6,17,3,"2025-02-22 15:36:03"
6,20,0,"2025-02-22 15:44:31"
6,20,0,"2025-02-22 16:03:21"
6,20,0,"2025-02-22 16:13:27"
6,18,2,"2025-02-22 16:33:40"
6,18,2,"2025-02-22 16:43:45"
6,19,1,"2025-02-22 16:57:58"
6,18,2,"2025-02-22 17:04:03"
6,18,2,"2025-02-22 17:24:13"
6,12,8,"2025-02-22 17:51:12"
6,12,8,"2025-02-22 17:54:43"
6,12,8,"2025-02-22 18:04:48"
6,14,6,"2025-02-22 18:17:03"
6,13,7,"2025-02-22 18:32:35"
6,12,8,"2025-02-22 18:41:39"
6,12,8,"2025-02-22 18:45:15"
6,12,8,"2025-02-22 18:55:20"
6,14,6,"2025-02-22 19:14:18"
6,14,6,"2025-02-22 19:15:32"
6,14,6,"2025-02-22 19:30:36"
6,14,6,"2025-02-22 19:44:03"
6,14,6,"2025-02-22 19:55:57"
7,4,25,"2025-02-18 10:31:37"
7,1,28,"2025-02-18 10:57:31"
7,1,28,"2025-02-18 11:12:02"
7,0,29,"2025-02-18 12:32:45"
7,0,29,"2025-02-18 13:03:02"
7,2,27,"2025-02-18 13:17:23"
7,2,27,"2025-02-18 13:23:14"
7,1,28,"2025-02-18 19:26:32"
7,2,27,"2025-02-18 19:46:44"
7,11,18,"2025-02-22 07:58:35"
7,11,18,"2025-02-22 08:08:37"
7,11,18,"2025-02-22 08:18:41"
7,7,22,"2025-02-22 08:58:59"
7,8,21,"2025-02-22 09:19:05"
7,8,21,"2025-02-22 09:29:08"
7,8,21,"2025-02-22 09:39:11"
7,8,21,"2025-02-22 09:59:18"
7,8,21,"2025-02-22 10:29:32"
7,9,20,"2025-02-22 10:39:36"
7,7,22,"2025-02-22 10:52:39"
7,6,23,"2025-02-22 11:09:52"
7,5,24,"2025-02-22 11:30:03"
7,2,27,"2025-02-22 11:41:18"
7,2,27,"2025-02-22 12:01:16"
7,5,24,"2025-02-22 12:20:26"
7,7,22,"2025-02-22 12:30:30"
7,5,24,"2025-02-22 12:58:00"
7,5,24,"2025-02-22 13:10:44"
7,5,24,"2025-02-22 13:40:58"
7,4,25,"2025-02-22 13:51:04"
7,1,28,"2025-02-22 14:22:28"
7,0,29,"2025-02-22 14:41:27"
7,0,29,"2025-02-22 14:51:30"
7,0,29,"2025-02-22 15:01:33"
7,0,29,"2025-02-22 15:11:36"
7,0,29,"2025-02-22 15:21:40"
7,0,29,"2025-02-22 15:41:46"
7,0,29,"2025-02-22 16:01:52"
7,0,29,"2025-02-22 16:21:59"
7,0,29,"2025-02-22 16:42:05"
7,0,29,"2025-02-22 16:52:08"
7,0,29,"2025-02-22 17:02:11"
7,0,29,"2025-02-22 17:22:17"
7,0,29,"2025-02-22 17:52:28"
7,0,29,"2025-02-22 18:02:31"
7,0,29,"2025-02-22 18:12:34"
7,0,29,"2025-02-22 18:32:41"
7,0,29,"2025-02-22 18:42:44"
7,0,29,"2025-02-22 18:52:47"
7,1,28,"2025-02-22 19:12:54"
7,0,29,"2025-02-22 19:22:59"
7,0,29,"2025-02-22 19:43:06"
7,1,28,"2025-02-22 20:03:12"
8,3,27,"2025-02-18 10:29:04"
8,5,25,"2025-02-18 10:58:00"
8,3,27,"2025-02-18 11:11:13"
8,1,29,"2025-02-18 12:31:56"
8,2,28,"2025-02-18 13:03:12"
8,1,29,"2025-02-18 13:20:49"
8,1,29,"2025-02-18 13:32:07"
8,24,6,"2025-02-18 19:32:26"
8,25,5,"2025-02-18 19:44:57"
8,16,14,"2025-02-22 07:59:25"
8,16,14,"2025-02-22 08:09:29"
8,16,14,"2025-02-22 08:59:51"
8,16,14,"2025-02-22 09:19:59"
8,17,13,"2025-02-22 09:30:04"
8,16,14,"2025-02-22 09:40:11"
8,16,14,"2025-02-22 10:00:19"
8,15,15,"2025-02-22 10:20:30"
8,15,15,"2025-02-22 10:43:47"
8,17,13,"2025-02-22 11:10:58"
8,16,14,"2025-02-22 11:31:08"
8,15,15,"2025-02-22 11:41:19"
8,16,14,"2025-02-22 12:01:30"
8,15,15,"2025-02-22 12:11:35"
8,15,15,"2025-02-22 12:35:54"
8,15,15,"2025-02-22 12:51:55"
8,16,14,"2025-02-22 13:17:57"
8,16,14,"2025-02-22 13:42:22"
8,17,13,"2025-02-22 13:52:29"
8,17,13,"2025-02-22 14:12:37"
8,17,13,"2025-02-22 14:44:45"
8,17,13,"2025-02-22 14:53:31"
8,16,14,"2025-02-22 15:03:06"
8,17,13,"2025-02-22 15:13:11"
8,17,13,"2025-02-22 15:23:15"
8,17,13,"2025-02-22 15:43:24"
8,18,12,"2025-02-22 16:03:32"
8,18,12,"2025-02-22 16:21:49"
8,20,10,"2025-02-22 16:36:50"
8,19,11,"2025-02-22 16:56:43"
8,20,10,"2025-02-22 17:04:05"
8,18,12,"2025-02-22 17:24:16"
8,20,10,"2025-02-22 17:54:30"
8,20,10,"2025-02-22 17:58:28"
8,19,11,"2025-02-22 18:13:56"
8,19,11,"2025-02-22 18:24:47"
8,19,11,"2025-02-22 18:34:51"
8,18,12,"2025-02-22 19:05:07"
8,18,12,"2025-02-22 19:25:16"
8,19,11,"2025-02-22 19:44:17"
8,20,10,"2025-02-22 19:55:28"
9,11,13,"2025-02-18 10:36:27"
9,12,12,"2025-02-18 10:58:45"
9,11,13,"2025-02-18 11:12:49"
9,14,10,"2025-02-18 12:33:36"
9,17,7,"2025-02-18 12:57:32"
9,19,5,"2025-02-18 13:19:16"
9,20,4,"2025-02-18 13:28:26"
9,13,11,"2025-02-18 19:27:55"
9,12,12,"2025-02-18 19:48:05"
9,12,12,"2025-02-22 07:50:59"
9,12,12,"2025-02-22 08:01:03"
9,15,9,"2025-02-22 08:18:33"
9,20,4,"2025-02-22 09:01:56"
9,20,4,"2025-02-22 09:11:34"
9,20,4,"2025-02-22 09:30:17"
9,23,1,"2025-02-22 09:41:44"
9,24,0,"2025-02-22 09:57:24"
9,24,0,"2025-02-22 10:21:58"
9,23,1,"2025-02-22 10:42:03"
9,24,0,"2025-02-22 10:52:06"
9,11,13,"2025-02-22 11:09:59"
9,6,18,"2025-02-22 11:22:34"
9,9,15,"2025-02-22 11:35:23"
9,15,9,"2025-02-22 11:53:52"
9,18,6,"2025-02-22 12:10:58"
9,19,5,"2025-02-22 12:20:12"
9,21,3,"2025-02-22 12:38:05"
9,21,3,"2025-02-22 12:56:23"
9,24,0,"2025-02-22 13:18:45"
9,23,1,"2025-02-22 13:33:36"
9,21,3,"2025-02-22 13:51:21"
9,22,2,"2025-02-22 13:53:45"
9,21,3,"2025-02-22 14:15:25"
9,21,3,"2025-02-22 14:44:06"
9,19,5,"2025-02-22 14:54:12"
9,20,4,"2025-02-22 15:04:16"
9,22,2,"2025-02-22 15:18:36"
9,22,2,"2025-02-22 15:24:24"
9,23,1,"2025-02-22 15:46:36"
9,20,4,"2025-02-22 15:59:40"
9,18,6,"2025-02-22 16:15:51"
9,23,1,"2025-02-22 16:42:39"
9,21,3,"2025-02-22 16:58:18"
9,21,3,"2025-02-22 17:09:23"
9,23,1,"2025-02-22 17:19:39"
9,23,1,"2025-02-22 17:48:05"
9,24,0,"2025-02-22 17:55:43"
9,23,1,"2025-02-22 18:09:00"
9,24,0,"2025-02-22 18:15:50"
9,23,1,"2025-02-22 18:26:23"
9,23,1,"2025-02-22 18:43:23"
9,23,1,"2025-02-22 18:46:08"
9,20,4,"2025-02-22 19:12:31"
9,21,3,"2025-02-22 19:30:41"
9,22,2,"2025-02-22 19:42:22"
9,22,2,"2025-02-22 20:00:06"
10,2,13,"2025-02-18 10:36:43"
10,2,13,"2025-02-18 10:56:51"
10,4,11,"2025-02-18 11:17:01"
10,5,11,"2025-02-18 12:28:45"
10,0,16,"2025-02-18 12:57:58"
10,0,16,"2025-02-18 13:18:06"
10,0,16,"2025-02-18 13:28:10"
10,11,5,"2025-02-18 19:31:15"
10,13,3,"2025-02-18 19:44:13"
10,16,0,"2025-02-22 07:52:24"
10,16,0,"2025-02-22 08:02:29"
10,16,0,"2025-02-22 08:52:59"
10,16,0,"2025-02-22 09:13:10"
10,16,0,"2025-02-22 09:23:16"
10,16,0,"2025-02-22 09:43:27"
10,16,0,"2025-02-22 09:53:33"
10,16,0,"2025-02-22 10:23:49"
10,16,0,"2025-02-22 10:44:00"
10,16,0,"2025-02-22 11:04:10"
10,15,1,"2025-02-22 11:26:41"
10,16,0,"2025-02-22 11:54:37"
10,16,0,"2025-02-22 12:14:48"
10,12,4,"2025-02-22 12:36:49"
10,15,1,"2025-02-22 12:59:32"
10,15,1,"2025-02-22 13:15:29"
10,15,1,"2025-02-22 13:36:09"
10,16,0,"2025-02-22 13:45:46"
10,14,2,"2025-02-22 14:18:40"
10,15,1,"2025-02-22 14:46:25"
10,16,0,"2025-02-22 14:56:31"
10,16,0,"2025-02-22 15:16:45"
10,16,0,"2025-02-22 15:26:50"
10,15,1,"2025-02-22 15:47:51"
10,15,1,"2025-02-22 16:03:32"
10,16,0,"2025-02-22 16:23:23"
10,16,0,"2025-02-22 16:37:34"
10,15,1,"2025-02-22 16:57:46"
10,16,0,"2025-02-22 17:07:54"
10,16,0,"2025-02-22 17:22:55"
10,11,5,"2025-02-22 17:50:40"
10,12,4,"2025-02-22 18:00:11"
10,11,5,"2025-02-22 18:14:20"
10,11,5,"2025-02-22 18:28:48"
10,11,5,"2025-02-22 18:38:54"
10,16,0,"2025-02-22 19:10:10"
10,16,0,"2025-02-22 19:29:21"
10,16,0,"2025-02-22 19:39:26"
10,16,0,"2025-02-22 19:59:38"
11,17,13,"2025-02-18 10:32:39"
11,19,11,"2025-02-18 10:54:47"
11,18,12,"2025-02-18 11:13:04"
11,16,14,"2025-02-18 12:33:18"
11,14,15,"2025-02-18 13:01:44"
11,15,15,"2025-02-18 13:14:18"
11,13,17,"2025-02-18 13:31:15"
11,0,30,"2025-02-18 19:28:23"
11,0,30,"2025-02-18 19:48:33"
11,1,29,"2025-02-22 07:58:01"
11,2,28,"2025-02-22 08:08:07"
11,2,28,"2025-02-22 08:18:12"
11,2,28,"2025-02-22 08:58:34"
11,2,28,"2025-02-22 09:18:45"
11,2,28,"2025-02-22 09:28:50"
11,4,26,"2025-02-22 09:38:57"
11,4,26,"2025-02-22 09:59:07"
11,4,26,"2025-02-22 10:29:23"
11,4,26,"2025-02-22 10:39:29"
11,4,26,"2025-02-22 10:49:34"
11,4,26,"2025-02-22 11:09:45"
11,4,26,"2025-02-22 11:29:55"
11,4,26,"2025-02-22 11:40:01"
11,5,25,"2025-02-22 12:00:13"
11,5,25,"2025-02-22 12:10:18"
11,5,25,"2025-02-22 12:20:23"
11,6,24,"2025-02-22 12:30:31"
11,6,24,"2025-02-22 12:50:42"
11,6,24,"2025-02-22 13:10:53"
11,6,24,"2025-02-22 13:41:09"
11,6,24,"2025-02-22 13:51:14"
11,6,24,"2025-02-22 14:01:19"
11,6,24,"2025-02-22 14:21:30"
11,6,24,"2025-02-22 14:31:36"
11,6,24,"2025-02-22 14:45:51"
11,7,23,"2025-02-22 14:51:46"
11,7,23,"2025-02-22 15:01:51"
11,7,23,"2025-02-22 15:11:57"
